economy,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.99999673894044,-8.70000128778106,-5.79999773857412,3.09999569733905,4.00000275526473,1.99468822773208,-4.49953979669861,12.8592360906196,1.40000497165083,-1.09999999184221,12.137131280644,3.8690172536152,4.21330295740712,14.5379451912159,11.2781501370061,0.483597757175616,10.3000080176023,3.00000001153913,5.92255381679058,-15.9057766287429,14.0000000035935,9.50000000852515,7.60000000000001,6.10000000608035,13.1999999973409,-4.99999999898749,-5.10000000285633,-6.90000000487413,-5.80000000000001,-4.10000000000001
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,,,,,14.1004788656194,-27.3874841348344,-5.34310339858348,-18.2616471931457,-16.5391944811495,-2.03738103190794,-6.14382654278293,-4.3628343927717,6.96268903949628,14.5254268031687,6.29133499094594,5.20413973553191,6.09047976658039,3.48062953995156,4.32875109681193,4.06504065040652,-1.29310344827587,-8.37882096069869,-2.08519511468575,4.95892911469427,4.26086956521739,3.28051153739226,3.3378196500673,-2.13597290961188,12.0308756986958,5.9871703492516,-1.9502353732347,11.705532693187,5.68972574703236,-0.929512006196745,-6.88037529319782,-14.0428211586902,1.63614163614163,13.6232580490149,1.5225206174667,7.70672776504895,-16.9406304389867,2.60768335273573,3.65327887451781,14.9737302977233,0.818735719725822,1.39754485363551,1.52728627304899
AUS,,,,,,,,,,,,,,,,,8.27263002394172,2.67231239708303,-3.27635980387664,21.71214705325,-12.2961348332101,-12.3291319012959,16.3561810266275,-21.8620839678051,43.2962138084632,0.198165993161339,-6.9841392949936,1.0672892520637,-2.15741275472321,4.41418272271174,8.19268351772591,5.54207874603472,-5.3041018387553,5.25765496639283,4.1400595998297,-14.6516777380344,21.0305739602459,8.01701678593807,0.650302253159921,9.9705766372433,6.90130744193745,3.95551656517701,3.15967137432054,-21.5557480390741,25.6448793055854,4.29157308856556,2.84864940779926,-15.1232390359362,8.19971040918111,17.2457375099128,-0.746126693580777,3.54359214617317,0.962527251038622,-0.825015278060704,1.09479305740987,1.51367385915722,-7.09725196645518,9.40603658142491,-2.7843963531103,-10.496465393263,-10.0685722044945
AUT,,,,,,,,,,,,,,,,,,-2.21617099782209,1.35068929888899,3.21177470704916,-2.25381719332609,-3.80092088662599,6.75795808586868,-3.45471434818127,0.25025353626009,-3.34912864278908,2.05752923136824,-1.0409346910039,3.05157419910738,-0.501576908624571,7.6229290392868,-2.98520268305916,-2.07494553765028,-1.83033696951269,7.80157709300376,0.272159879962317,-0.0569415063783651,0.315194584411799,5.14757522275218,4.87350153331474,-3.59838730222023,-0.682198776925318,-1.61613123402088,-2.45755138516532,8.58035778865396,-2.31038033567683,-1.4953276338706,9.42313239111623,7.17584416269077,-6.6068525527985,-5.0765017249098,14.2542855795346,-7.23448582313705,-2.97953873819165,2.779666321333,2.09812604505997,2.24423579259137,5.2134751220199,3.71306887436845,-0.10853784998271,-3.06058655667287
AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.2999946528472,-12.8000029144971,-6.9999977618438,2.99999566808484,-6.90000440824191,6.20001214691356,7.09998801082196,19.5873378488406,11.0999994710695,6.39946855624449,5.6087408949016,4.99556606562139,7.49812312312352,0.899999999999991,4.00180532571129,6.10205155181471,3.5040071237749,-1.999811338553,5.81335835537023,6.60866275770769,4.90102000924028,-2.60073025430766,6.60040774719654,2.60000000000002,4.1999999999998,4.60000000000026,7.26741400785696,1.89999999999992
BDI,,,,,,,4.45764257461722,-4.06316221731883,-4.8445830679113,-0.281300393147916,39.7362536358769,19.2479709762142,-9.95398407339631,12.0223771736507,-4.00240144178822,4.610599430931,3.64312420239132,4.09603068767235,-2.676761108596,1.47924973620783,1.27810602270739,14.1073204663354,-7.58703379223135,4.39181254779353,-3.61516289591617,13.1285463158155,4.12840266875567,5.19787518792629,1.58668853651788,-2.17287480544177,5.56625271862703,2.12973104388034,3.13999999853081,-4.37999998809792,-9.73000000643268,-6.77000001553013,1.51000000303607,3.3300000026465,1.93000000779764,-1.04000000596166,-5.17865009221056,-3.44293818743296,4.23438838819908,-3.51382614318109,-0.239338316140774,-6.56040697480559,3.18917221327335,-9.33897522997928,1.96416466149618,-1.17695287940322,1.61568701625573,-1.35817144984432,2.13424767394237,8.41591433970186,-3.57969344578173,-3.0,-2.2,0.299999991108052,2.99998000611403,3.09999475323532,2.80036000468577
BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.86412512218963,3.21676328043334,0.672098697233352,6.63039004984225,-7.11008190745743,10.3780988874013,-3.29164749675854,7.18363463368222,-2.71960618165679,8.86805757186113,-0.270507105573969,0.607426650366747,-6.17049553825707,10.7648725212464,2.03872853489221,0.171870524205104,-14.1800114383757,0.241576075638307,18.8473843852578,-7.11463832465125,4.34733514001806,-9.80774086498575,0.911854103343472,-6.82466708941027
BEN,,,,,,,,,,,,-3.65040363653496,3.4195587642069,13.8817857590067,-14.3868561246367,-5.40782661156629,11.2402226646771,-0.435643106591215,10.4991129559752,4.7498826431133,3.09939418834273,-7.18457367790593,1.89563115456488,0.0,19.0806601449002,9.32265108289172,5.12991654989476,-7.60456375342368,14.1975334810724,7.84053577642932,2.52610372987148,8.09222770728132,0.668935881512084,10.126930976101,3.28273748803325,5.7668555494519,5.60357179994358,6.08300675276139,5.24694654909088,5.98277742826438,4.57004130093783,8.74080530160822,3.03734506546425,1.77398855972031,7.11810303970704,1.42664630270095,7.06770560761234,6.03157949139927,2.0955690772555,7.78235248326875,-0.833877855761799,0.951894910868916,5.44444084983394,6.10952395745379,8.25728270735269,0.0227444188129198,8.96619450400409,7.56411260305343,7.329068917348,5.15957959320093,1.75332966074708
BFA,,,,,,,,,,,,1.15636493809235,-0.29428107640139,-5.60474797871979,15.0001623988606,-0.815684492970746,3.83634767103204,-5.80473097665511,5.60139549240806,-6.44063598369301,2.47218863572922,8.07361347578703,2.78900349213238,0.290128284152217,-1.06254460726669,7.20172952595991,12.5527116990846,-10.155997350929,17.9355069979806,-1.36613629443173,-6.52858926932647,20.6167971649126,2.55917406344355,9.81505264215494,0.525940599502377,6.36343515206765,12.5351148316873,-3.90022007222795,16.5523763686592,1.40482394249943,-5.1834511319432,8.12915815569414,-0.885983378871842,9.26310449400094,-5.1727727005991,12.210967419452,1.64628830904114,-5.14212620611141,16.1329300194841,-10.3281916875558,14.5667757607862,-2.25892358307772,8.51810191179251,6.20794953941657,4.4033759529853,-3.22493828158908,4.22553803748482,-0.206245370889405,8.55928649996187,0.984659375816705,5.08152881423725
